id,rating,userId,timestamp
2218774,4,1,1369699200
2044816,4.5,1,1355443200
1417567,4.5,1,1404691200
1417617,4.5,1,1382572800
2218766,3.5,1,1274227200
1417609,4.5,1,1404518400
1638832,4.5,1,1371945600
1284462,5,1,1373068800
2221588,4,1,1401840000
2221596,3,1,1389052800
2243699,3.5,1,1372032000
1417633,4.5,1,1378252800
1886621,4.5,1,1372118400
1417575,4.5,1,1371686400
2339661,0,1,1372118400
2295228,4,1,1373414400
2044725,4.5,1,1372896000
2222917,3,1,1372896000
967224,3.5,1,1373068800
1059500,4,1,1372291200
2295210,5,2,1372291200
2243715,5,2,1372896000
1979608,4.5,2,1372896000
2222909,3,2,1378425600
1226885,4.5,2,1375488000
1915396,4,2,1372896000
1775055,0,2,1405296000
2295236,5,2,1392076800
2295194,5,2,1388707200
1629369,4,2,1394928000
1915412,4,2,1389657600
2295202,0,2,1383523200
2295186,0,2,1392681600
2339703,0,2,1392422400
2339687,0,2,1402790400
1794585,4,2,1396742400
1639228,4.5,2,1385251200
1699222,5,2,1397606400
1639236,4.5,2,1405036800
2317907,0,2,1399680000
2350064,4.5,2,1395187200
2039121,4.5,2,1397779200
2317907,5,2,1383177600
1855626,3.5,2,1384992000
1659077,4.5,2,1386028800
2350031,4.5,2,1391558400
1639210,4,2,1383004800
1738640,4.5,2,1383177600
1738582,4.5,2,1391558400
2192177,4.5,2,1383004800
2350023,4,2,1384128000
1639251,4.5,2,1384732800
1659085,4.5,2,1384992000
1736065,5,2,1384992000
2115467,4.5,2,1385856000
1912427,4,2,1384992000
1912419,4,2,1393891200
2189975,5,2,1385596800
2189959,5,2,1384992000
2325223,5,2,1391817600
2265866,5,2,1391558400
2265858,5,2,1384992000
2324978,5,2,1389830400
1957182,4,2,1385769600
2170827,4.5,2,1383868800
2289643,4.5,2,1384992000
1582477,4.5,2,1384992000
1328855,4,2,1388188800
1420223,4.5,2,1384992000
1644376,4,2,1386201600
2063014,4,2,1386201600
1675974,4,2,1384732800
2338317,0,2,1384992000
2211753,4.5,2,1385856000
1328822,4.5,2,1384992000
1357847,4.5,2,1384992000
1898634,4.5,2,1388102400
1985068,3.5,2,1385424000
1649771,4,2,1384992000
1772821,4,2,1385424000
2282390,4.5,2,1388620800
2062990,4.5,2,1388016000
2289320,4,2,1404172800
1985076,4.5,2,1390608000
2282408,4.5,2,1393286400
1545748,4.5,2,1385596800
1772813,4.5,2,1386028800
1790039,4.5,2,1385683200
2282416,4.5,2,1392076800
2255503,4.5,2,1384992000
2239945,4,2,1394755200
1957208,4.5,2,1391385600
1328814,4,2,1386028800
1357821,4.5,2,1385424000
1792951,4.5,2,1385424000
2239937,4,2,1385424000
1789999,4,3,1385424000
1629948,4.5,3,1385856000
1862549,4.5,3,1385596800
1676980,4,3,1388966400
1898642,4.5,3,1391299200
1521392,4.5,3,1385596800
1823095,4.5,3,1386028800
1866318,4,3,1389916800
1862515,4,3,1357603200
2289650,5,3,1372550400
1862481,3,3,1340755200
1814862,3.5,3,1385856000
2289676,5,3,1328918400
2289668,5,3,1375833600
2289346,5,3,1403913600
2211761,3.5,3,1375488000
1707744,4.5,3,1373414400
